Iteration 16500/1000000: loss: 0.2854, pearson: 0.6690
Iteration 16600/1000000: loss: 0.2954, pearson: 0.6691
Iteration 16700/1000000: loss: 0.2988, pearson: 0.6693
Iteration 16800/1000000: loss: 0.3103, pearson: 0.6695
Iteration 16900/1000000: loss: 0.3136, pearson: 0.6697
Iteration 17000/1000000: loss: 0.3468, pearson: 0.6699
Iteration 17100/1000000: loss: 0.2681, pearson: 0.6701
Iteration 17200/1000000: loss: 0.3293, pearson: 0.6702
Iteration 17300/1000000: loss: 0.3140, pearson: 0.6704
Iteration 17400/1000000: loss: 0.2218, pearson: 0.6706
Iteration 17500/1000000: loss: 0.3205, pearson: 0.6707
Iteration 17600/1000000: loss: 0.3638, pearson: 0.6708
Iteration 17700/1000000: loss: 0.2883, pearson: 0.6709
Iteration 17800/1000000: loss: 0.2897, pearson: 0.6711
Iteration 17900/1000000: loss: 0.3291, pearson: 0.6712
Iteration 18000/1000000: loss: 0.3219, pearson: 0.6713
Iteration 18100/1000000: loss: 0.2585, pearson: 0.6715
Iteration 18200/1000000: loss: 0.3452, pearson: 0.6716
Iteration 18300/1000000: loss: 0.3321, pearson: 0.6717
